id;author;author_name;tk_id;views;hearts;comments;shares;created_date;tags;duration;music;music_url;post_url;local_download_path;local_edit_path;claimed;uploaded;last_update;is_downloaded
@theshilpashetty_6792797083767246086;theshilpashetty;;;108.9;0;0;0;0;theshilpashetty|fallinlove|happyvalentinesday|patipatni|love|fyp|haopiness|trending;10;original sound - Vishnu Kalathil;;https://tiktok.com/@theshilpashetty/video/6792797083767246086;./downloaded/downloads\@theshilpashetty_6792797083767246086.mp4;;0;1;21-06-2021T00:05:08;0
@theshilpashetty_6792218487860333829;theshilpashetty;;;206.2;0;0;0;0;theshilpashetty|valentinesday2020|love|pyar|fyp|trending;24;Teri Ban Jaungi Reprise Tulsi Kumar Version  2;;https://tiktok.com/@theshilpashetty/video/6792218487860333829;./downloaded/downloads\@theshilpashetty_6792218487860333829.mp4;;1;0;19-06-2021T18:39:56;0
@ahma_atak_6788170115016903942;ahma_ataki;;;152.5;0;0;0;0;ahma_ataki|turkey|istanbul|tiktok|love|foruyou|foru;10;orijinal ses;;https://tiktok.com/@ahma_ataki/video/6788170115016903942;./downloaded/downloads\@ahma_atak_6788170115016903942.mp4;;0;1;21-06-2021T00:05:08;0
@amazonprimevide_6859881508983934214;amazonprimevideo;;;155.0;0;0;0;0;amazonprimevideo|chemicalhearts|lilireinhart|austinabrams|primevideo|crush|dating|chemicalheartsapv|love;19;original sound;;https://tiktok.com/@amazonprimevideo/video/6859881508983934214;./downloaded/downloads\@amazonprimevide_6859881508983934214.mp4;;0;1;19-06-2021T18:39:56;0
@cat_kitty66_6866927712745901318;cat_kitty66;;;106.6;0;0;0;0;cat_kitty66|petlifes|funny;6;original sound;;https://tiktok.com/@cat_kitty66/video/6866927712745901318;./downloaded/downloads\@cat_kitty66_6866927712745901318.mp4;;0;1;19-06-2021T18:39:56;0
@dexchew_6805125856411782401;dexchew_oe;;;120.1;0;0;0;0;dexchew_oe|;15;orijinal ses;;https://tiktok.com/@dexchew_oe/video/6805125856411782401;./downloaded/downloads\@dexchew_6805125856411782401.mp4;;1;0;19-06-2021T18:39:56;0
@funnyspecialeffectscar_6831082356342836486;funnyspecialeffectscar;;;106.2;0;0;0;0;funnyspecialeffectscar|funny;10;original sound;;https://tiktok.com/@funnyspecialeffectscar/video/6831082356342836486;./downloaded/downloads\@funnyspecialeffectscar_6831082356342836486.mp4;;0;1;21-06-2021T00:05:08;0
@spider_slack_6909833888189648133;spider_slack;;;161.4;0;0;0;0;spider_slack|memes;14;original sound;;https://tiktok.com/@spider_slack/video/6909833888189648133;./downloaded/downloads\@spider_slack_6909833888189648133.mp4;;0;1;19-06-2021T18:39:56;0
@thechainzfamily_6663279692511972613;thechainzfamily;;;145.3;0;0;0;0;thechainzfamily|foryou|comedy|dametucosita|fox|gmoney|music|meme|lol;13;Prank cover;;https://tiktok.com/@thechainzfamily/video/6663279692511972613;./downloaded/downloads\@thechainzfamily_6663279692511972613.mp4;;0;1;21-06-2021T00:05:08;0
@overtim_6766682095369604358;overtime;;;404.7;0;0;0;0;overtime|dancemonkey|music|singing|song|amazing|shoutoutOT;18;original sound;;https://tiktok.com/@overtime/video/6766682095369604358;./downloaded/downloads\@overtim_6766682095369604358.mp4;;1;0;19-06-2021T18:39:56;0
@pearjak_6820796563728747782;pearjake;;;121.0;0;0;0;0;pearjake|fashion|pearl|jewelry|gem|bracelet|necklace|ring|earring|beautiful;21;Lose Control;;https://tiktok.com/@pearjake/video/6820796563728747782;./downloaded/downloads\@pearjak_6820796563728747782.mp4;;0;1;19-06-2021T18:39:56;0
@duduyuzaitt_6899483984619638021;duduyuzaitt;;;139.4;0;0;0;0;duduyuzaitt|swim|baby|foryou|follow|fyp;15;Baby Shark;;https://tiktok.com/@duduyuzaitt/video/6899483984619638021;./downloaded/downloads\@duduyuzaitt_6899483984619638021.mp4;;1;1;26-06-2021T10:14:56;0
@joeyklaasen_6783794952003489030;joeyklaasen;;;121.7;0;0;0;0;joeyklaasen|trend|comedy|prank;10;original sound;;https://tiktok.com/@joeyklaasen/video/6783794952003489030;./downloaded/downloads\@joeyklaasen_6783794952003489030.mp4;;0;1;19-06-2021T18:39:56;0
