@cznburak_6774845158304402693;cznburak;227.1;cznburak|czn|cznburak|tiktok;15;orijinal ses;https://tiktok.com/@cznburak/video/6774845158304402693;./downloaded/100mil+\@cznburak_6774845158304402693.mp4;1;0
@insecthaus_adi_6959414195444124934;insecthaus_adi;95.7;insecthaus_adi|loveyou|tiktok;10;original sound;https://tiktok.com/@insecthaus_adi/video/6959414195444124934;./downloaded/90mil+\@insecthaus_adi_6959414195444124934.mp4;0;1
@jayprehistoricpets_6947659301704060166;jayprehistoricpets;114.7;jayprehistoricpets|tiktok|amazing|thankyou|snakes;11;original sound;https://tiktok.com/@jayprehistoricpets/video/6947659301704060166;./downloaded/100mil+\@jayprehistoricpets_6947659301704060166.mp4;-1;0
@ammye1921_6763575556085648642;ammye1921;119.1;ammye1921|praveen1921|legendstar|viralvideo|foruyou|tiktok;12;orijinal ses;https://tiktok.com/@ammye1921/video/6763575556085648642;./downloaded/100mil+\@ammye1921_6763575556085648642.mp4;0;0
@alexandercaballeroficial_6866641501338864898;alexandercaballeroficial;183.6;alexandercaballeroficial|fyp|fy|tiktok|paratii|cortedepelo;34;El Chima - En Alta;https://tiktok.com/@alexandercaballeroficial/video/6866641501338864898;./downloaded/100mil+\@alexandercaballeroficial_6866641501338864898.mp4;1;0
@thematblackshow_6937901763752234246;thematblackshow;123.3;thematblackshow|pranks|funny|fyp|foryoupage|tiktok|viral|america|trending|followme|thematblackshow|usa;59;original sound;https://tiktok.com/@thematblackshow/video/6937901763752234246;./downloaded/100mil+\@thematblackshow_6937901763752234246.mp4;0;1
@cutybeautykhan_6817658603013541122;cutybeautykhan;91.0;cutybeautykhan|tiktokindia|tiktok|tiktokdance;11;original sound - 😍🔥ZeRy🔥😍;https://tiktok.com/@cutybeautykhan/video/6817658603013541122;./downloaded/90mil+\@cutybeautykhan_6817658603013541122.mp4;0;1
@ulhaskamathe_6791273026995375362;ulhaskamathe;100.4;ulhaskamathe|;21;original sound - Ulhas Kamathe;https://tiktok.com/@ulhaskamathe/video/6791273026995375362;./downloaded/100mil+\@ulhaskamathe_6791273026995375362.mp4;-1;0
@cutybeautykhan_6817089352196197634;cutybeautykhan;93.2;cutybeautykhan|jiya_khan|tiktok|tiktokdance|kolkata;14;original sound - I'm. jatain;https://tiktok.com/@cutybeautykhan/video/6817089352196197634;./downloaded/90mil+\@cutybeautykhan_6817089352196197634.mp4;0;1
@arnaldomangini_6842597765197958406;arnaldomangini;136.7;arnaldomangini|laxedsirenbeatchallenge|tiktok|tiktokdance|comedy|clown;14;Laxed (Siren Beat);https://tiktok.com/@arnaldomangini/video/6842597765197958406;./downloaded/100mil+\@arnaldomangini_6842597765197958406.mp4;1;0
@jackson.jo_6886333782358609154;jackson.jo;91.3;jackson.jo|extremesports|bungeejump|tiktok|fly|fyp;10;оригинальный звук;https://tiktok.com/@jackson.jo/video/6886333782358609154;./downloaded/90mil+\@jackson.jo_6886333782358609154.mp4;0;0
@sonuplaha1_6808064755589270786;sonuplaha1;93.7;sonuplaha1|tiktokindia|india|new|sonuplaha|tikttok_india|jamshepur|best|best|ktm|tik_tok|tiktok;15;Moto;https://tiktok.com/@sonuplaha1/video/6808064755589270786;./downloaded/90mil+\@sonuplaha1_6808064755589270786.mp4;1;0
@ilusha_help_6826803160842079494;ilusha_help;121.2;ilusha_help|пранк|страх|рекомендации|хочуврекомендации|хочуврек|рекconstanntinn|илюшахэлп|жиза|рек|tiktok;22;оригинальный звук;https://tiktok.com/@ilusha_help/video/6826803160842079494;./downloaded/100mil+\@ilusha_help_6826803160842079494.mp4;0;0
@jonosean_6940189388311629062;jonosean;120.6;jonosean|LiftYourDream|ocd|paint|satisfying|aesthetic|tiktok;19;original sound;https://tiktok.com/@jonosean/video/6940189388311629062;./downloaded/100mil+\@jonosean_6940189388311629062.mp4;-1;0
@im_ewing__6815759097355357446;im_ewing_;159.0;im_ewing_|tiktok|wow|fyp|foryou|foryoupage|handmade|trending;24;original sound;https://tiktok.com/@im_ewing_/video/6815759097355357446;./downloaded/100mil+\@im_ewing__6815759097355357446.mp4;-1;0
