priority;video_id;timeline;claimed;uploaded;is_edited
1;@allthingsequestrian93_6908395876918496513;00:10;0;0;0
2;@allthingsequestrian93_6893554827855498498;00:18;0;0;0
3;@allthingsequestrian93_6894443013993532674;00:29;0;0;0
4;@allthingsequestrian93_6908485296338259202;00:44;0;0;0
5;@allthingsequestrian93_6819561442530954502;01:01;0;0;0
