video_id;author;views;hearts;comments;shares;post_url;upload_date
@plumsoju_6918131418149227781;plumsoju;0.6;0.2;0.9;1.2;https://tiktok.com/@plumsoju/video/6918131418149227781;16-01-2021T06:23:26
@mik.zenon_6856550680816078085;mik.zenon;1.2;0.1;0.8;3.5;https://tiktok.com/@mik.zenon/video/6856550680816078085;03-08-2020T07:38:35
@simplysalfinds_6947838526868245766;simplysalfinds;0.8;0.1;0.7;2.8;https://tiktok.com/@simplysalfinds/video/6947838526868245766;06-04-2021T07:42:00
@cheyanne.anastasia_6805976827421543686;cheyanne.anastasia;0.5;0.1;0.7;1.5;https://tiktok.com/@cheyanne.anastasia/video/6805976827421543686;20-03-2020T00:46:07
@connorsmom_6881431546352471301;connorsmom;5.9;0.1;1.0;2.7;https://tiktok.com/@connorsmom/video/6881431546352471301;09-10-2020T08:49:32
@mtlajeunesse_6939566490769263877;mtlajeunesse;0.7;0.1;0.4;0.3;https://tiktok.com/@mtlajeunesse/video/6939566490769263877;15-03-2021T00:42:16
@mik.zenon_6858760375568026886;mik.zenon;1.2;0.1;1.1;5.3;https://tiktok.com/@mik.zenon/video/6858760375568026886;09-08-2020T06:33:19
@yolkfather_6829355723814685957;yolkfather;0.3;0.1;4.5;0.7;https://tiktok.com/@yolkfather/video/6829355723814685957;22-05-2020T00:48:10
@prettylittlediy_6950631907243740422;prettylittlediy;1.5;0.1;0.9;5.3;https://tiktok.com/@prettylittlediy/video/6950631907243740422;13-04-2021T20:21:46
@rachel_meaders_6845073529143053574;rachel_meaders;1.3;0.1;0.3;3.7;https://tiktok.com/@rachel_meaders/video/6845073529143053574;03-07-2020T09:21:20
@brittneyletsos_6932942307641560326;brittneyletsos;1.0;0.1;1.5;13.4;https://tiktok.com/@brittneyletsos/video/6932942307641560326;25-02-2021T04:17:11
@rachel_meaders_6839140826346556678;rachel_meaders;1.4;0.1;0.5;7.5;https://tiktok.com/@rachel_meaders/video/6839140826346556678;17-06-2020T09:39:25
@cookingwithshereen_6932975826229234949;cookingwithshereen;0.8;0.1;0.3;1.5;https://tiktok.com/@cookingwithshereen/video/6932975826229234949;25-02-2021T06:27:17
@rachel_meaders_6843594147186740485;rachel_meaders;1.4;0.1;0.4;6.7;https://tiktok.com/@rachel_meaders/video/6843594147186740485;29-06-2020T09:40:34
@kimberlynamae_6902917674507062533;kimberlynamae;1.1;0.1;0.7;2.3;https://tiktok.com/@kimberlynamae/video/6902917674507062533;06-12-2020T06:26:41
@texykitchen1_6908834207246617862;texykitchen1;1.1;0.1;0.1;0.2;https://tiktok.com/@texykitchen1/video/6908834207246617862;22-12-2020T05:05:30
@beauty_holics__6839456981707803910;beauty_holics_;0.8;0.1;0.1;0.5;https://tiktok.com/@beauty_holics_/video/6839456981707803910;18-06-2020T06:06:15
@bcabreraaaa_6974167917717998853;bcabreraaaa;1.9;0.1;0.9;28.3;https://tiktok.com/@bcabreraaaa/video/6974167917717998853;16-06-2021T06:33:30
@eastcoastdiy_6925913584098725125;eastcoastdiy;0.7;0.1;0.3;0.8;https://tiktok.com/@eastcoastdiy/video/6925913584098725125;06-02-2021T05:42:08
@brianna_greenwood_6845341926154128645;brianna_greenwood;0.6;0.1;0.4;3.7;https://tiktok.com/@brianna_greenwood/video/6845341926154128645;04-07-2020T02:42:49
@mik.zenon_6852433953358384389;mik.zenon;0.8;0.1;0.4;3.5;https://tiktok.com/@mik.zenon/video/6852433953358384389;23-07-2020T05:23:30
@jessicasaramorris_6801925897701100805;jessicasaramorris;1.7;0.1;0.1;3.6;https://tiktok.com/@jessicasaramorris/video/6801925897701100805;09-03-2020T02:46:32
@rachel_meaders_6842824533414563077;rachel_meaders;1.3;0.1;0.3;3.9;https://tiktok.com/@rachel_meaders/video/6842824533414563077;27-06-2020T07:54:04
@youcancallmekait_6915570314957163782;youcancallmekait;0.7;0.1;0.5;2.5;https://tiktok.com/@youcancallmekait/video/6915570314957163782;09-01-2021T08:45:03
@mik.zenon_6851738526044753158;mik.zenon;1.0;0.1;0.5;8.2;https://tiktok.com/@mik.zenon/video/6851738526044753158;21-07-2020T08:24:54
