video_id;timeline;is_claimed;is_uploaded
@abrameng_6852099259865615622;0:00:10;0;0
@jordi.koalitic_6766627359857593605;0:00:20;0;0
@haseenansari094_6839351112647052546;0:00:55;0;0
@jaykindafunny8_6909609072123710725;0:01:10;0;0
@topperguild_6787540597595999494;0:01:25;0;0
@khaby.lame_6949115989145537797;0:01:47;0;0
@mattstauffer3_6786036492658560262;0:01:57;0;0
@funnyvids2k21_6913865911485074690;0:02:45;0;0
@paky__official_6794133511474351365;0:02:52;0;0
@deliciousfood66_6966048395966385414;0:03:18;0;0
@dr.rami_awwad_6915794190068681986;0:03:40;0;0
@dogdog5200_6946374270452845830;0:03:53;0;0
@deiparii_6782170528644910342;0:04:02;0;0
@ulhaskamathe_6791273026995375362;0:04:17;0;0
@spencerx_6777235860870941958;0:04:38;0;0
@deepakjoshi.102_6800664456671104258;0:04:47;0;0
@ox_zung_6952136491355098369;0:04:57;0;0
@supremevenus_6905921714199284998;0:05:08;0;0
@itsniane_6926966356478856450;0:05:16;1;0
@serovski_family_6852379643350158598;0:05:28;1;0
@funnyvids2k21_6911397395402165505;0:06:16;1;0
@cat_kitty66_6866927712745901318;0:06:23;0;0
@iamdaud.14_6779131730709286145;0:06:29;0;0
@saifbmx19_6818395093867760898;0:07:13;0;0
@jonosean_6940189388311629062;0:07:23;0;0
@pearjake_6820796563728747782;0:07:42;0;0
@ahmed__art_6955377267795152134;0:08:03;0;0
@thematblackshow_6937901763752234246;0:08:11;0;0
@eliefeghaly7_6927853379196652802;0:09:10;0;0
@_mochafrappe__6807185269867957509;0:09:24;0;0
@dobyandblue_6798926213487348998;0:09:35;0;0
@jokersteam_6805526363441876225;0:09:45;0;0
@gofetch_6815510962989288709;0:10:12;0;0
@theliceangels_6876871769878203654;0:10:24;0;0
@carlylassley_6902782417698852102;0:10:44;0;0
@swagboyq_6770770283994352901;0:10:56;0;0
@skywaymisfits_6938045656640605445;0:11:10;0;0
@ox_zung_6938406663749684481;0:12:09;0;0
@ahmad_ataki_6788170115016903942;0:12:22;0;0
@garett__nolan_6886863579765689606;0:12:32;0;0
@youneszarou_6932043807835852037;0:12:45;0;0
@khaby.lame_6949854998838660357;0:13:00;0;0
@cznburak_6803727949368626438;0:13:30;0;0
@lovelydrxgon_6907005147801521413;0:13:45;0;0
@sorrysa_official_6795767146438757638;0:14:12;0;0
@lelya_boss_6813758281102724358;0:14:27;0;0
@mattzworld_6831372615160958213;0:14:44;0;0
@xoxosantana_6861261005922536709;0:15:00;0;0
@jebunggg_6843456587017866497;0:15:12;0;0
@celinedept_6785902395219037445;0:15:20;0;0
@riyaz.14_6796522197201571074;0:15:34;0;0
@spencerx_6793884060658781445;0:15:47;0;0
@fredziownik_art_6911406868699073798;0:16:03;0;0
@overtime_6766682095369604358;0:16:29;1;0
@bellapoarch_6862153058223197445;0:16:47;1;0
